Time,mAU
0,0.000536442
0.004853333,0.000178814
0.009706667,-0.000715256
0.01456,-0.001847744
0.019413333,-0.003218651
0.024266667,-0.004351139
0.02912,-0.005245209
0.033973333,-0.005781651
0.038826667,-0.005841255
0.04368,-0.005662441
0.048533333,-0.005185604
0.053386667,-0.004708767
0.05824,-0.004291534
0.063093333,-0.004053116
0.067946667,-0.003814697
0.0728,-0.003516674
0.077653333,-0.003218651
0.082506667,-0.003039837
0.08736,-0.002861023
0.092213333,-0.002801418
0.097066667,-0.002861023
0.10192,-0.003039837
0.106773333,-0.003218651
0.111626667,-0.003099442
0.11648,-0.002920628
0.121333333,-0.002622604
0.126186667,-0.00244379
0.13104,-0.002324581
0.135893333,-0.002324581
0.140746667,-0.002324581
0.1456,-0.002264977
0.150453333,-0.002086163
0.155306667,-0.001788139
0.16016,-0.001490116
0.165013333,-0.001251698
0.169866667,-0.001251698
0.17472,-0.001430511
0.179573333,-0.001907349
0.184426667,-0.002563
0.18928,-0.003516674
0.194133333,-0.004470348
0.198986667,-0.005424023
0.20384,-0.006079674
0.208693333,-0.006437302
0.213546667,-0.006318092
0.2184,-0.005662441
0.223253333,-0.004827976
0.228106667,-0.003993511
0.23296,-0.003278255
0.237813333,-0.002980232
0.242666667,-0.002801418
0.24752,-0.002741814
0.252373333,-0.002622604
0.257226667,-0.002384186
0.26208,-0.001907349
0.266933333,-0.001430511
0.271786667,-0.000953674
0.27664,-0.000298023
0.281493333,0.000298023
0.286346667,0.001072884
0.2912,0.001907349
0.296053333,0.002741814
0.300906667,0.003457069
0.30576,0.003874302
0.310613333,0.003993511
0.315466667,0.003695488
0.32032,0.003039837
0.325173333,0.002264977
0.330026667,0.001370907
0.33488,0.000596046
0.339733333,-0.000119209
0.344586667,-0.000715256
0.34944,-0.001132488
0.354293333,-0.001430511
0.359146667,-0.001728535
0.364,-0.001847744
0.368853333,-0.00166893
0.373706667,-0.001490116
0.37856,-0.001072884
0.383413333,-0.000536442
0.388266667,-5.96E-05
0.39312,0.000298023
0.397973333,0.000596046
0.402826667,0.000596046
0.40768,0.000536442
0.412533333,0.000357628
0.417386667,-0.000119209
0.42224,-0.000715256
0.427093333,-0.001490116
0.431946667,-0.002384186
0.4368,-0.003397465
0.441653333,-0.004291534
0.446506667,-0.00500679
0.45136,-0.005722046
0.456213333,-0.006139278
0.461066667,-0.006496906
0.46592,-0.006616116
0.470773333,-0.00667572
0.475626667,-0.006556511
0.48048,-0.006496906
0.485333333,-0.006377697
0.490186667,-0.006258488
0.49504,-0.006258488
0.499893333,-0.006139278
0.504746667,-0.006079674
0.5096,-0.005960464
0.514453333,-0.005602837
0.519306667,-0.005245209
0.52416,-0.00500679
0.529013333,-0.004708767
0.533866667,-0.004470348
0.53872,-0.004172325
0.543573333,-0.003814697
0.548426667,-0.003576279
0.55328,-0.00333786
0.558133333,-0.003099442
0.562986667,-0.002741814
0.56784,-0.002324581
0.572693333,-0.001847744
0.577546667,-0.001251698
0.5824,-0.000834465
0.587253333,-0.000476837
0.592106667,-0.000238419
0.59696,-0.000119209
0.601813333,0.000119209
0.606666667,0.000357628
0.61152,0.000834465
0.616373333,0.001132488
0.621226667,0.001251698
0.62608,0.001132488
0.630933333,0.000715256
0.635786667,0.000178814
0.64064,-0.000655651
